member_id,member_age,membership_tenure_years,annual_contribution_amount,super_balance,investment_return_percent,withdrawal_frequency_per_year,portal_login_frequency,customer_support_calls,insurance_opt_in,investment_plan_type,employer_category,mobile_app_usage,financial_adviser_interaction,risk_profile,churn
MSA100000,68,7,29069.88,447663.64,-1.86,7,19,5,No,Growth,Private,Medium,9,Medium Risk,0
MSA100001,58,20,24846.04,3649767.42,11.94,5,33,7,Yes,High Growth,Self Employed,Low,1,Medium Risk,0
MSA100002,44,15,26554.38,3645171.79,10.25,9,28,14,No,Conservative,Government,Medium,8,High Risk,0
MSA100003,72,11,27768.77,2048123.85,-2.71,2,31,14,No,Growth,Self Employed,High,2,Medium Risk,0
MSA100004,37,8,31751.59,4523048.38,7.87,5,21,14,Yes,High Growth,Private,Medium,5,Medium Risk,0
MSA100005,50,21,11246.92,2749883.65,13.81,4,54,0,Yes,Growth,Corporate,Low,5,Medium Risk,0
MSA100006,68,7,25904.05,3416786.51,-9.0,2,34,10,Yes,Balanced,Private,Low,7,Low Risk,1
MSA100007,48,19,38006.48,1236150.49,11.53,8,15,10,No,Balanced,SME,High,3,Medium Risk,0
MSA100008,52,23,38791.79,2121368.66,-2.44,6,14,12,Yes,Balanced,Private,Medium,5,Medium Risk,0
MSA100009,40,11,24199.52,4415794.82,18.44,6,19,8,Yes,High Growth,Government,High,0,Medium Risk,0
MSA100010,40,11,27736.03,1145182.76,6.15,5,43,4,No,Conservative,Self Employed,High,8,Medium Risk,0
MSA100011,53,24,25272.64,2104063.17,-9.0,5,15,4,Yes,Balanced,SME,Low,8,Medium Risk,0
MSA100012,65,21,39735.93,1665588.89,2.1,2,6,12,Yes,Balanced,Self Employed,Medium,6,Medium Risk,0
MSA100013,69,4,30297.57,992821.42,18.99,7,52,11,Yes,Growth,Self Employed,High,0,Medium Risk,0
MSA100014,53,8,15787.15,1552683.69,11.91,5,9,4,Yes,Balanced,Private,Low,2,High Risk,0
MSA100015,32,24,13630.17,1360763.8,-0.99,8,37,5,Yes,Conservative,Corporate,High,4,Medium Risk,0
MSA100016,51,3,28004.28,4690804.47,7.26,3,20,1,No,High Growth,SME,Medium,3,Low Risk,0
MSA100017,31,22,24755.85,3769573.08,7.97,3,34,5,Yes,Balanced,Government,High,4,Low Risk,0
MSA100018,53,21,22369.57,1853578.83,-9.3,7,38,13,No,High Growth,Government,Medium,6,Medium Risk,0
MSA100019,73,2,17665.97,3963391.31,-4.63,9,26,10,Yes,High Growth,Corporate,Low,8,Medium Risk,1
MSA100020,59,24,17828.41,362372.77,6.55,5,18,3,Yes,Conservative,Corporate,Low,0,Low Risk,0
MSA100021,67,12,17934.18,2850601.32,2.08,8,28,7,Yes,Growth,Private,High,4,High Risk,0
MSA100022,31,6,32676.12,1518678.09,-4.3,10,55,12,Yes,Growth,Government,Low,2,Medium Risk,1
MSA100023,50,2,23649.39,838403.26,13.18,10,51,10,No,High Growth,SME,High,2,High Risk,0
MSA100024,62,21,17044.5,4535915.72,4.67,8,9,8,Yes,Balanced,Corporate,High,1,Medium Risk,0
MSA100025,41,1,16498.92,1076144.64,-0.7,8,32,8,Yes,High Growth,Corporate,Medium,5,Medium Risk,0
MSA100026,51,12,20542.81,4276231.91,-5.15,3,59,7,Yes,Growth,Corporate,High,5,Medium Risk,0
MSA100027,73,22,23378.28,2240262.25,8.33,9,53,2,Yes,Balanced,SME,Medium,2,Low Risk,0
MSA100028,54,12,21908.14,359841.31,9.99,5,56,9,No,Growth,Government,High,0,Low Risk,0
MSA100029,56,17,28879.21,3922202.51,10.09,10,59,10,Yes,Conservative,SME,Medium,6,High Risk,0
MSA100030,71,10,15417.97,3031034.8,-3.39,2,6,10,No,Growth,SME,Low,1,Medium Risk,1
MSA100031,57,16,20062.71,1788359.82,7.86,5,14,3,Yes,Balanced,Private,High,7,Low Risk,0
MSA100032,45,15,21260.95,1557973.37,17.16,6,28,0,No,Balanced,Corporate,Medium,2,Low Risk,0
MSA100033,44,15,28786.84,636486.7,0.6,5,58,8,Yes,High Growth,Government,High,0,High Risk,0
MSA100034,73,19,28907.92,4715419.69,-3.68,3,24,4,Yes,Balanced,Private,Medium,9,Medium Risk,0
MSA100035,32,12,10376.23,2510583.18,13.16,6,13,5,No,Conservative,Private,Medium,8,Low Risk,0
MSA100036,66,23,39948.87,711031.36,-4.69,8,43,2,Yes,Growth,Self Employed,High,4,Medium Risk,0
MSA100037,36,20,21646.68,4489276.6,-2.39,7,12,10,Yes,High Growth,Corporate,High,0,Medium Risk,0
MSA100038,50,3,31130.6,1638497.21,-6.98,3,51,9,Yes,High Growth,Government,Low,9,Medium Risk,1
MSA100039,38,5,22802.51,1108522.44,-1.96,8,19,7,No,Balanced,Government,Low,5,Low Risk,0
MSA100040,68,19,26051.58,1447576.32,2.31,3,21,14,No,Conservative,Government,Low,9,Medium Risk,0
MSA100041,47,7,30279.39,2961900.72,-8.08,3,27,6,No,High Growth,Corporate,High,2,Medium Risk,0
MSA100042,33,21,30399.16,512653.6,16.15,7,58,0,No,Conservative,Government,Low,3,Medium Risk,0
MSA100043,54,9,37741.59,2614733.7,5.41,9,19,9,Yes,Conservative,SME,Medium,7,Medium Risk,0
MSA100044,43,7,35484.27,4697536.05,7.64,5,24,11,Yes,Growth,SME,High,4,Medium Risk,0
MSA100045,38,18,30468.65,987331.4,1.14,6,26,4,Yes,Growth,Corporate,Medium,5,Medium Risk,0
MSA100046,55,4,12424.26,1845680.42,10.1,4,45,9,Yes,Growth,Government,Medium,9,Low Risk,0
MSA100047,31,14,15860.67,2121030.73,2.95,5,28,8,Yes,Conservative,Self Employed,Medium,3,Medium Risk,0
MSA100048,49,18,30102.95,3082657.52,12.84,2,46,11,Yes,Growth,Self Employed,High,5,Low Risk,0
MSA100049,57,9,31661.37,4848392.52,14.64,10,56,10,No,High Growth,Self Employed,High,2,High Risk,0
MSA100050,36,21,32551.14,2131714.08,10.16,8,18,11,Yes,High Growth,SME,Low,9,Medium Risk,0
MSA100051,73,2,29151.6,559203.56,4.74,7,44,5,Yes,Balanced,Self Employed,Low,0,Medium Risk,0
MSA100052,37,20,29834.2,1979168.76,13.47,6,36,7,Yes,Conservative,Government,Low,5,Medium Risk,0
MSA100053,64,15,24884.96,1024807.79,4.83,8,42,9,No,Growth,Government,Low,0,Medium Risk,0
MSA100054,43,7,35197.35,3452411.67,-6.65,5,29,0,No,High Growth,Self Employed,Medium,9,Medium Risk,0
MSA100055,46,12,39098.49,334122.44,-6.51,4,17,9,No,Conservative,Private,High,2,Medium Risk,0
MSA100056,65,8,27204.27,1691366.36,18.46,2,4,10,Yes,Conservative,Self Employed,Low,7,Medium Risk,1
MSA100057,69,15,17641.0,2886924.86,-3.59,7,44,6,Yes,Growth,Private,Medium,6,Low Risk,0
MSA100058,33,3,27751.94,1526126.32,14.48,9,45,2,No,Conservative,Corporate,High,7,Low Risk,0
MSA100059,31,14,29004.29,2851045.65,-2.6,2,59,8,Yes,Growth,Corporate,High,9,High Risk,0
MSA100060,35,17,36904.06,644409.99,2.92,3,29,5,Yes,Growth,Government,High,9,High Risk,0
MSA100061,71,4,14870.58,4730408.17,9.65,5,4,4,Yes,Growth,SME,Medium,1,Medium Risk,0
MSA100062,33,18,12422.22,1676077.7,-5.23,8,10,7,Yes,Conservative,Government,Low,9,High Risk,0
MSA100063,58,8,31814.1,4657395.15,12.12,4,25,7,No,Conservative,Government,High,6,Medium Risk,0
MSA100064,47,4,25365.92,1696948.43,10.7,3,31,11,Yes,Growth,SME,Medium,3,Medium Risk,0
MSA100065,55,2,28198.38,3995376.95,6.29,7,3,11,No,Conservative,Government,High,0,Medium Risk,1
MSA100066,73,6,28830.45,1399845.42,6.98,6,47,2,Yes,Growth,SME,Medium,2,Medium Risk,0
MSA100067,63,22,29290.84,3488562.07,-6.83,2,2,1,Yes,Balanced,Government,Low,4,Medium Risk,1
MSA100068,39,10,33587.83,1853419.26,3.08,2,57,14,Yes,Conservative,Corporate,Low,9,Medium Risk,0
