Feature ID,Feature,User Story ID,User Story,Task,Short Description
2880486,4.3 Feature Engineering,2931287,4.3.1 Define Churn Target and Prepare Modelling Dataset,"Define churn target, eligibility, dates and modelling rules","Confirm the churn/retention definition, eligible population, exclusions, as-of date, feature window, outcome window and modelling rules."
2880486,4.3 Feature Engineering,2931287,4.3.1 Define Churn Target and Prepare Modelling Dataset,Identify required source data and prepare joins,"Confirm the required Databricks tables/views and fields, then prepare the source joins and transformation logic."
2880486,4.3 Feature Engineering,2931287,4.3.1 Define Churn Target and Prepare Modelling Dataset,Build and validate account-level modelling dataset,"Create one row per account_id per as_of_date and validate uniqueness, record counts and population coverage."
2880486,4.3 Feature Engineering,2931298,4.3.2 Develop Account-Level ML Features,"Develop account, tenure and product features","Create approved account-level tenure, lifecycle, product and related customer/account features."
2880486,4.3 Feature Engineering,2931298,4.3.2 Develop Account-Level ML Features,"Develop behavioural, transaction, rollover and engagement features","Create approved behavioural, contribution, transaction, rollover, withdrawal, engagement and trend features."
2880486,4.3 Feature Engineering,2931298,4.3.2 Develop Account-Level ML Features,Implement categorical and missing-value treatment,Apply consistent categorical encoding/grouping and deterministic missing-value treatment for modelling.
2880486,4.3 Feature Engineering,2931313,4.3.3 Validate and Select ML Features,"Validate feature quality, duplicates and leakage","Validate feature completeness, ranges, duplicates, account-level grain and target leakage."
2880486,4.3 Feature Engineering,2931313,4.3.3 Validate and Select ML Features,Select final ML feature set,Identify constant/low-value fields and select the final modelling features based on quality and suitability.
2880486,4.3 Feature Engineering,2931313,4.3.3 Validate and Select ML Features,Review and sign off features with Business SME,Review selected features and business interpretation with the SME and document approval/traceability.
2880487,4.4 Model Development & Validation,2932042,4.4.1 Prepare Training and Validation Datasets,Prepare modelling inputs,Prepare numeric and categorical modelling inputs using the approved feature logic.
2880487,4.4 Model Development & Validation,2932042,4.4.1 Prepare Training and Validation Datasets,"Create temporal train, validation and test split","Create time-based train, validation and test datasets suitable for future-like evaluation."
2880487,4.4 Model Development & Validation,2932042,4.4.1 Prepare Training and Validation Datasets,Validate class distribution and dataset consistency,"Check churn distribution, schema, transformations and data consistency across modelling datasets."
2880487,4.4 Model Development & Validation,2932048,4.4.2 Develop and Tune Candidate ML Models,Develop baseline and candidate models,"Train the baseline and agreed candidate models such as Logistic Regression, Decision Tree, Random Forest and XGBoost/alternative."
2880487,4.4 Model Development & Validation,2932048,4.4.2 Develop and Tune Candidate ML Models,Perform hyperparameter tuning if required,Tune selected model parameters when agreed and validate improvements against the untuned models.
2880487,4.4 Model Development & Validation,2932048,4.4.2 Develop and Tune Candidate ML Models,Track model experiments in MLflow,"Log model runs, parameters, metrics and artifacts in MLflow for comparison and reproducibility."
2880487,4.4 Model Development & Validation,2932058,4.4.3 Evaluate and Select Final Churn Model,Evaluate candidate models using agreed metrics,"Evaluate candidates using ROC-AUC, PR-AUC, precision, recall, F1, confusion matrix, lift and calibration where applicable."
