Work Item Type,Title,Description,Tags
Task,Define churn/retention target and eligibility rules,"Confirm the churn/retention definition, eligible population, exclusions and applicable business rules for modelling.",ParentStory-2931287;Story-4.3.1
Task,"Define as-of date, feature window and outcome window","Document the observation date, historical feature period and future outcome period used to create features and labels.",ParentStory-2931287;Story-4.3.1
Task,Identify required source fields and approved views,Confirm the Databricks source tables/views and fields required to build the churn modelling dataset.,ParentStory-2931287;Story-4.3.1
Task,Join and prepare source data,"Join required source datasets, standardise fields and apply agreed preparation and business-rule logic.",ParentStory-2931287;Story-4.3.1
Task,Build account-level modelling dataset,Create the modelling dataset at one row per account_id per as_of_date with lower-level records aggregated to account level.,ParentStory-2931287;Story-4.3.1
Task,Validate modelling dataset grain and record counts,"Check uniqueness, row counts, account coverage and expected population after dataset creation.",ParentStory-2931287;Story-4.3.1
Task,Develop tenure and lifecycle features,"Create account tenure, lifecycle and relevant time-based features available as of the observation date.",ParentStory-2931298;Story-4.3.2
Task,Develop product and account features,Create approved product and account attributes required for churn modelling and segmentation.,ParentStory-2931298;Story-4.3.2
Task,Develop transaction and contribution features,"Create account-level transaction and contribution aggregates such as amount, count, frequency and recency.",ParentStory-2931298;Story-4.3.2
Task,Develop rollover and withdrawal features,"Create account-level rollover and withdrawal behaviour features, including relevant partial/full activity indicators.",ParentStory-2931298;Story-4.3.2
Task,Develop engagement features,Create account-level engagement features from approved interaction and engagement data sources.,ParentStory-2931298;Story-4.3.2
Task,Develop trend features,Create trend/change features that capture changes in customer behaviour over agreed historical periods.,ParentStory-2931298;Story-4.3.2
Task,Implement categorical-value treatment,Apply consistent encoding/grouping logic for categorical features used by the modelling pipeline.,ParentStory-2931298;Story-4.3.2
Task,Implement missing-value treatment,Apply deterministic missing-value handling appropriate to each feature and document the treatment.,ParentStory-2931298;Story-4.3.2
Task,Validate feature data quality,"Review feature completeness, ranges, nulls and unexpected values before model development.",ParentStory-2931313;Story-4.3.3
Task,Validate duplicates and account-level grain,Confirm the feature dataset contains no unintended duplicate account_id/as_of_date records.,ParentStory-2931313;Story-4.3.3
