ID,Work Item Type,Title 1,Title 2,Description
2931287,,Story 4.3.1: Define Churn Target and Prepare Modelling Dataset,,
,Task,,Define churn/retention target and eligibility rules,"Confirm the churn/retention definition, eligible population, exclusions and applicable business rules for modelling."
,Task,,"Define as-of date, feature window and outcome window","Document the observation date, historical feature period and future outcome period used to create features and labels."
,Task,,Identify required source fields and approved views,Confirm the Databricks source tables/views and fields required to build the churn modelling dataset.
,Task,,Join and prepare source data,"Join required source datasets, standardise fields and apply agreed preparation and business-rule logic."
,Task,,Build account-level modelling dataset,Create the modelling dataset at one row per account_id per as_of_date with lower-level records aggregated to account level.
,Task,,Validate modelling dataset grain and record counts,"Check uniqueness, row counts, account coverage and expected population after dataset creation."
2931298,,Story 4.3.2: Develop Account-Level ML Features,,
,Task,,Develop tenure and lifecycle features,"Create account tenure, lifecycle and relevant time-based features available as of the observation date."
,Task,,Develop product and account features,Create approved product and account attributes required for churn modelling and segmentation.
,Task,,Develop transaction and contribution features,"Create account-level transaction and contribution aggregates such as amount, count, frequency and recency."
,Task,,Develop rollover and withdrawal features,"Create account-level rollover and withdrawal behaviour features, including relevant partial/full activity indicators."
,Task,,Develop engagement features,Create account-level engagement features from approved interaction and engagement data sources.
,Task,,Develop trend features,Create trend/change features that capture changes in customer behaviour over agreed historical periods.
,Task,,Implement categorical-value treatment,Apply consistent encoding/grouping logic for categorical features used by the modelling pipeline.
,Task,,Implement missing-value treatment,Apply deterministic missing-value handling appropriate to each feature and document the treatment.
2931313,,Story 4.3.3: Validate and Select ML Features,,
,Task,,Validate feature data quality,"Review feature completeness, ranges, nulls and unexpected values before model development."
,Task,,Validate duplicates and account-level grain,Confirm the feature dataset contains no unintended duplicate account_id/as_of_date records.
,Task,,Perform target-leakage validation,Confirm no feature uses information occurring after the as_of_date or directly reveals the future target.
,Task,,Identify constant and low-value features,Identify features with little or no variation or limited predictive usefulness for potential exclusion.
,Task,,Select final ML feature set,"Select the modelling feature set based on quality, business relevance and modelling suitability."
,Task,,Review features with Business SME,Review identified features and business interpretation with the Business SME and record feedback/sign-off.
,Task,,Document feature and dataset version traceability,Record feature definitions and dataset versions so training and future scoring logic can be reproduced.
2932042,,Story 4.4.1: Prepare Training and Validation Datasets,,
,Task,,Prepare modelling features for training,Prepare numeric and categorical inputs in the format required by the candidate model pipelines.
,Task,,"Create temporal train, validation and test split",Split historical observations by time so model development and evaluation reflect future scoring behaviour.
,Task,,Validate class distribution across datasets,"Check churn/non-churn distribution across train, validation and test datasets for material differences."
,Task,,Validate training and test dataset consistency,"Confirm feature schema, transformations and data types are consistent across modelling datasets."
2932048,,Story 4.4.2: Develop and Tune Candidate ML Models,,
,Task,,Establish baseline model,Train a simple baseline model to provide a minimum benchmark for candidate model performance.
